Datetime,Language,Text,Label
08/12/2020,en,"Immigration lawyers, Kerry Garcia and Nyasha Gardner, offer a practical guide to the new regulations employers will need to be aware of when recruiting employees from abroad. #Immigration #Brexit https://t.co/LDBLkaLf1p",2
29/03/2020,en,@davidschneider And any reasonable person would have to facepalm when you hark back to #BorisJohnson a few months ago with his points system for immigration!! Suddenly fruit pickers and shelf stockers are top of  his ranking! #brexit #CovidUK #coronavirusUK,1
27/12/2020,en,@mikegalsworthy Brexit meant to reduce immigration  but its just increasing non EU immigration. but a lot harder for UK citizens to live/study/work/retire abroad now. https://t.co/3ALpS5lO3T,1
02/12/2019,en,"@CDennett @Jim_Cornelius @jimeekay @MsCCollins1 @Redeye1810 @brexitparty_uk @Nigel_Farage Christopher, you do know that the proportion of immigration coming from@the EU is now down to 20%?

So, to spell it out, #Brexit will do nothing to reduce the 80% (which was always within “our control”).  And most likely, #Brexit will *increase* immigration from Asia &amp; Africa :)",1
09/10/2020,en,"That filthy foreign court #ECHR and it’s immigration interference  must have absolutely ZERO say in this country from Jan 1st. DO NOT capitulate @DavidGHFrost @michaelgove @BorisJohnson 
#Brexit #Independence",0
09/11/2020,en,Bitterly disappointing that the battle has been lost for an amendment that would have offered young refugees a safe route to the UK #ImmigrationBill https://t.co/AT1qIUF76i,1
23/01/2021,en,"@stevep1407 @Nigel_Farage If you could, just for a moment, remove your head from Nigel’s backside, you might notice that so far NO brexit benefits have materialised. Immigration? Up. Fishing? Shafted. Nissan? Bought with a bung. No red tape? We’ve now mountains of it. But please, prove me wrong???",1
26/12/2017,en,"This is my father. He comes from France to visit me at home every 3 months since I moved to the UK in 2013. According to post #Brexit #ImmigrationBill, he won’t be able to do so after #BrexitDay because he doesn’t have a passport.
He’s my only family.
Thanks Brexiters. Merry Xmas https://t.co/iyuCIZxgMg",1
25/12/2020,en,So there you have it. The UK's points-based immigration system owes nothing but the name to Australia's. It looks like it was done on the back of an envelope half an hour before the press briefing. Like pretty much everything else about Brexit. /14 /end,1
18/03/2016,en,Caroline Lucas :The Immigration Bill Shows How Parliament Needs to Up Its Scrutiny Game https://t.co/EQIh6jNWWf #immigration,1
04/12/2020,en,Brexit was about conning people that all the numerous advantages of EU membership were not worth it/ too expensive/ immigration issues because of FOM. In fact it was jingoistic nationalistic lies that will make the majority poorer and have less freedoms and advantages.,1
19/02/2020,en,"With the Government’s intent on sacrificing British business in the name of #GlobalBritain, is it planning on filling these jobs with the unemployment created by #Brexit. Car workers ‘levelling-up’ to become care workers? 
#Immigration 
#ImmigrationReform https://t.co/mLxtvN4sBe",1
19/02/2020,en,"Government confirms it will publish response to Law Commission proposals on simplifying #Immigration Rules 'shortly' after unveiling details about post-#Brexit points-based immigration system:

https://t.co/ONkrEKnGTs",2
15/06/2020,en,"@MarkFrancois12 @Jacob_Rees_Mogg The laughable thing for me, all those #Brexit voters thought that #BrexitBritain was about 'Freedom' &amp; immigration. Still do. It has always been about the EU tax law, the rich NOT wanting to pay tax. Nothing else but greed.",1
04/12/2020,en,"@Femi_Sorry @GrymDaGooner EU doctors could still come after brexit, the bottom line is immigration from the EU was far far above historic normal. 

UK Labour Market had no protection, free movement of labour is a capitalist wet dream",0
